1  | Pakiet Standard  
2  | Pakiet Komfort  
3  | Pakiet Premium  
4  | Pakiet Lux  
5  | Pakiet Sport  
6  | Pakiet Adventure  
7  | Pakiet City  
8  | Pakiet Touring  
9  | Pakiet Safety  
10 | Pakiet Winter  
11 | Pakiet Tech  
12 | Pakiet LED  
13 | Pakiet Off-road  
14 | Pakiet Business  
15 | Pakiet Smart  
16 | Pakiet Pro  
17 | Pakiet Prestige  
18 | Pakiet Ultimate  
19 | Pakiet Night Ride  
20 | Pakiet Custom  
21 | Pakiet Travel  
22 | Pakiet Dynamic  
23 | Pakiet Eco  
24 | Pakiet Classic  
25 | Pakiet Urban  
26 | Pakiet Exclusive  
27 | Pakiet Elegance  
28 | Pakiet Extreme  
29 | Pakiet Touring Plus  
30 | Pakiet Safety Plus  
